                                       ,                    Date                  ,                    Versus                  ,                    Ground                  ,                    D/N*                  ,                    How Dismissed                  ,                    Runs                  ,                    B/F                  ,                    S/R                  ,                    Aggr                  ,                    Avg                  ,                Cumulative    S/R                  
180,6/4/2019,                    Kings XI Punjab                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    37*                  ,23,160.87,4172,41.31,137.64
181,9/4/2019,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,4172,41.31,137.64
182,11/4/2019,                    Rajasthan Royals                  ,                    Sawai Mansingh Stadium                  ,                    &check;                  ,                    b B A Stokes                  ,58,43,134.88,4230,41.47,137.61
183,14/04/2019,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    lbw b S P Narine                  ,16,13,123.08,4246,41.22,137.54
184,21/04/2019,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    not out                  ,                    84*                  ,48,175,4330,42.04,138.12
185,23/04/2019,                    Sunrisers Hyderabad                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,4330,42.04,138.12
186,1/5/2019,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    44*                  ,22,200,4374,42.47,138.55
187,5/5/2019,                    Kings XI Punjab                  ,                    Punjab Cricket Association IS Bindra Stadium                  ,                    &check;                  ,                    not out                  ,                    10*                  ,12,83.33,4384,42.56,138.34
188,7/5/2019,                    Mumbai Indians                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    37*                  ,29,127.59,4421,42.92,138.24
189,10/5/2019,                    Delhi Capitals                  ,                    Dr YS Rajasekhara Reddy Cricket Stadium                  ,                    &check;                  ,                    c K M A Paul b I Sharma                  ,9,9,100,4430,42.6,138.14
190,12/5/2019,                    Mumbai Indians                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    run out                  ,2,8,25,4432,42.21,137.85
191,19/09/2020,                    Mumbai Indians                  ,                    Sheikh Zayed Stadium                  ,                    &check;                  ,                    not out                  ,                    0*                  ,2,0,4432,42.21,137.77
192,22/09/2020,                    Rajasthan Royals                  ,                    Sharjah Cricket Stadium                  ,                    &check;                  ,                    not out                  ,                    29*                  ,17,170.59,4461,42.49,137.94
193,25/09/2020,                    Delhi Capitals                  ,                    Dubai International Cricket Stadium                  ,                    &check;                  ,                    c †R R Pant b K Rabada                  ,15,12,125,4476,42.23,137.89
194,2/10/2020,                    Sunrisers Hyderabad                  ,                    Dubai International Cricket Stadium                  ,                    &check;                  ,                    not out                  ,                    47*                  ,36,130.56,4523,42.67,137.81
195,4/10/2020,                    Kings XI Punjab                  ,                    Dubai International Cricket Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,4523,42.67,137.81
196,7/10/2020,                    Kolkata Knight Riders                  ,                    Sheikh Zayed Stadium                  ,                    &check;                  ,                    b C V Varun                  ,11,12,91.67,4534,42.37,137.64
                    No. of Innings Batted = 175                  ,,,,,,,,,,,
